AppID,Name,Current,24h Peak,All-Time Peak
234330.0,Marvel Puzzle Quest,531,675,"3,002"
242050.0,Assassin's Creed IV Black Flag,528,878,"16,049"
573120.0,Dead In Vinland,527,914,"1,353"
445220.0,Avorion,524,839,"3,973"
22320.0,The Elder Scrolls III: Morrowind,522,563,"1,396"
388080.0,Borderless Gaming,522,557,"1,182"
246620.0,Plague Inc: Evolved,511,827,"4,658"
728730.0,Holyday City: Reloaded,508,707,"1,194"
9450.0,"Warhammer 40,000: Dawn of War - Soulstorm",504,874,"3,283"
287450.0,Rise of Nations: Extended Edition,499,553,"2,734"
442080.0,Riders of Icarus,498,680,"17,162"
383980.0,Rivals of Aether,498,523,"2,171"
557400.0,Midas Gold Plus,496,633,"2,398"
502520.0,Ultimate General: Civil War,493,561,"1,678"
3900.0,Sid Meier's Civilization IV,489,586,"2,314"
8870.0,BioShock Infinite,487,709,"65,332"
469600.0,Legion TD 2,485,765,"3,284"
299740.0,Miscreated,479,731,"4,595"
310560.0,DiRT Rally,475,933,"4,352"
529180.0,Dark and Light,474,705,"14,089"
342940.0,Project: Gorgon,473,478,599
236110.0,Dungeon Defenders II,470,706,"18,785"
215280.0,Secret World Legends,470,644,"3,731"
564710.0,Soda Dungeon,466,513,"5,690"
447820.0,Day of Infamy,463,548,"9,210"
475150.0,Titan Quest Anniversary Edition,457,"1,084","11,043"
297000.0,Heroes of Might & Magic III - HD Edition,455,972,"4,138"
363150.0,Romance of the Three Kingdoms 13,454,"1,454","11,909"
477160.0,Human: Fall Flat,453,"1,627","38,841"
237310.0,Elsword,453,509,"2,587"
226840.0,Age of Wonders III,450,691,"11,104"
3590.0,Plants vs. Zombies: Game of the Year,450,518,"6,208"
108600.0,Project Zomboid,449,695,"2,715"
80.0,Counter-Strike: Condition Zero,448,796,"32,748"
12210.0,Grand Theft Auto IV,448,899,"11,696"
465650.0,Out of the Park Baseball 18,447,502,"1,586"
624120.0,Football Manager Touch 2018,444,"1,053","1,622"
228280.0,Baldur's Gate: Enhanced Edition,443,540,"3,756"
764050.0,Maelstrom,443,601,"1,025"
1250.0,Killing Floor,439,665,"24,107"
249050.0,Dungeon of the Endless,437,660,"6,323"
6060.0,"Star Wars: Battlefront 2 (Classic, 2005)",437,478,"4,789"
359870.0,FINAL FANTASY X/X-2 HD Remaster,436,539,"13,263"
47410.0,Stronghold Kingdoms,436,796,"8,616"
307780.0,Mortal Kombat X,435,903,"15,743"
431730.0,Aseprite,435,505,560
403640.0,Dishonored 2,433,729,"22,411"
600750.0,Star Trek Timelines,433,687,893
456610.0,Pro Evolution Soccer 2017,432,993,"6,266"
638690.0,Pixel Russia Streets,427,741,741
489520.0,Minion Masters,425,"1,692","10,329"
705220.0,Tactical Monsters Rumble Arena,425,721,"1,283"
411300.0,ELEX,418,"1,185","22,969"
319630.0,Life is Strange™,418,677,"18,260"
516750.0,My Summer Car,417,711,"5,509"
431240.0,Golf With Your Friends,417,786,"2,499"
714020.0,Idle Adventure,416,827,876
39140.0,FINAL FANTASY VII,410,476,"6,424"
495560.0,Farm Manager 2018,407,"1,053","3,940"
205710.0,EverQuest Free-to-Play,406,411,811
203290.0,America's Army: Proving Grounds,403,575,"3,073"
612880.0,Wolfenstein II: The New Colossus,402,602,"16,141"
366220.0,Wurm Unlimited,402,437,"1,958"
675010.0,Spintires: MudRunner,400,829,"8,667"
268420.0,Aura Kingdom,397,561,"2,165"
204300.0,Awesomenauts,392,564,"12,156"
253710.0,theHunter Classic,392,659,"2,656"
47810.0,Dragon Age: Origins - Ultimate Edition,391,489,"8,364"
290080.0,Life is Feudal: Your Own,390,"1,011","7,896"
300.0,Day of Defeat: Source,387,784,"7,507"
786520.0,SAO Utils,387,"1,483","3,708"
447040.0,Watch_Dogs 2,385,888,"18,138"
263280.0,Spintires,383,899,"7,251"
268650.0,From The Depths,380,401,"1,700"
286690.0,Metro 2033 Redux,378,769,"5,139"
287390.0,Metro: Last Light Redux,373,872,"2,819"
55230.0,Saints Row: The Third,370,684,"34,371"
339610.0,FreeStyle 2: Street Basketball,369,973,"10,356"
113400.0,APB Reloaded,366,693,"11,813"
311310.0,Naval Action,366,732,"5,222"
544920.0,Darwin Project,365,613,"3,707"
611790.0,House Party,361,520,541
50300.0,Spec Ops: The Line,359,694,"13,995"
773951.0,Freeman: Guerrilla Warfare,359,465,"1,388"
10180.0,Call of Duty: Modern Warfare 2,356,601,"22,614"
224600.0,Defiance,356,456,"12,690"
365360.0,Battle Brothers,356,558,"3,210"
394510.0,HELLDIVERS™,351,950,"6,744"
707010.0,Will To Live Online,350,715,"1,076"
306020.0,Bloons TD5,349,452,"1,660"
385770.0,Time Clickers,348,478,"7,003"
205100.0,Dishonored,347,490,"19,938"
71270.0,Football Manager 2012,346,851,"77,630"
32370.0,STAR WARS™: Knights of the Old Republic™,346,394,"5,642"
569480.0,Kingdoms and Castles,345,417,"4,856"
685310.0,Transport Defender,345,439,"1,125"
236690.0,Blood Bowl 2,343,813,"6,511"
